Name,Position,Team,Bye,ADP,Points
Jahmyr Gibbs,RB,DET,6,1.8,100
Bijan Robinson,RB,ATL,6,1.4,100
Puka Nacua,WR,LA,4,4.3,100
Ja'Marr Chase,WR,CIN,10,3.2,100
Jaxon Smith-Njigba,WR,SEA,11,5.2,100
Jonathan Taylor,RB,IND,10,7.3,100
Christian McCaffrey,RB,SF,7,6.1,100
CeeDee Lamb,WR,DAL,12,10.3,100
Amon-Ra St. Brown,WR,DET,7,8.3,100
Justin Jefferson,WR,MIN,11,9.3,100
James Cook III,RB,BUF,10,11.1,100
Saquon Barkley,RB,PHI,5,15.3,100
De'Von Achane,RB,MIA,10,13.7,100
Ashton Jeanty,RB,LV,10,12.1,100
Drake London,WR,ATL,10,19,100
Trey McBride,TE,ARI,8,16.9,100
Jeremiyah Love,RB,FA,9,17.6,100
Kenneth Walker III,RB,KC,7,14.8,100
Omarion Hampton,RB,LAC,11,18.7,100
Malik Nabers,WR,NYG,10,19.8,100
Brock Bowers,TE,LV,7,24.2,100
A.J. Brown,WR,PHI,6,30,100
Rashee Rice,WR,KC,7,20.6,100
Nico Collins,WR,HOU,7,26.9,100
Derrick Henry,RB,BAL,12,22.9,100
George Pickens,WR,DAL,13,26,100
Chase Brown,RB,CIN,13,22.1,100
Josh Jacobs,RB,GB,8,29,100
Chris Olave,WR,NO,11,27.9,100
Travis Etienne Jr.,RB,NO,7,31.9,100
Josh Allen,QB,BUF,10,25.2,100
DeVonta Smith,WR,PHI,6,38.5,100
Tee Higgins,WR,CIN,4,33.8,100
Tetairoa McMillan,WR,CAR,10,34.3,100
Garrett Wilson,WR,NYJ,12,36.7,100
Kyren Williams,RB,LA,6,32.5,100
Breece Hall,RB,NYJ,5,37.4,100
Bucky Irving,RB,TB,6,43.3,100
Ladd McConkey,WR,LAC,9,44.3,100
Emeka Egbuka,WR,TB,13,35.4,100
Javonte Williams,RB,DAL,5,39.8,100
Zay Flowers,WR,BAL,6,40.8,100
Luther Burden III,WR,CHI,4,44.9,100
DJ Moore,WR,BUF,4,42.6,100
Jameson Williams,WR,DET,4,51,100
Lamar Jackson,QB,BAL,11,51.7,100
Davante Adams,WR,LA,4,46.5,100
Terry McLaurin,WR,WAS,13,53.9,100
Colston Loveland,TE,CHI,8,40.8,100
Mike Evans,WR,SF,9,48,100
Cam Skattebo,RB,NYG,8,55.5,100
TreVeyon Henderson,RB,NE,7,52.9,100
Quinshon Judkins,RB,CLE,12,49,100
Rome Odunze,WR,CHI,8,56.9,100
Carnell Tate,WR,FA,11,63.5,100
Jaylen Waddle,WR,DEN,5,49.5,100
Bhayshul Tuten,RB,JAX,7,59,100
Christian Watson,WR,GB,5,58.2,100
D'Andre Swift,RB,CHI,8,60.8,100
David Montgomery,RB,HOU,10,51.3,100
Jayden Daniels,QB,WAS,7,68.9,100
Makai Lemon,WR,FA,6,72.5,100
Drake Maye,QB,NE,12,67.5,100
Tyler Warren,TE,IND,12,62.6,100
Joe Burrow,QB,CIN,12,55.9,100
RJ Harvey,RB,DEN,13,67.4,100
Courtland Sutton,WR,DEN,6,78.3,100
Marvin Harrison Jr.,WR,ARI,7,65.9,100
Jaylen Warren,RB,PIT,11,84.6,100
Michael Wilson,WR,ARI,13,71.8,100
Rhamondre Stevenson,RB,NE,11,75.7,100
Brian Thomas Jr.,WR,JAX,5,73.9,100
Jordyn Tyson,WR,FA,10,78.4,100
Alec Pierce,WR,IND,10,65.8,100
Parker Washington,WR,JAX,6,61.7,100
Jalen Hurts,QB,PHI,8,73.5,100
Harold Fannin Jr.,TE,CLE,7,76.4,100
DK Metcalf,WR,PIT,8,82.9,100
Jakobi Meyers,WR,JAX,9,99.1,100
Caleb Williams,QB,CHI,6,66.4,100
Chuba Hubbard,RB,CAR,8,73.4,100
Tucker Kraft,TE,GB,5,79.3,100
Ricky Pearsall,WR,SF,11,95.6,100
Jordan Addison,WR,MIN,13,96.5,100
Chris Godwin Jr.,WR,TB,10,82.9,100
Sam LaPorta,TE,DET,10,94.1,100
Justin Herbert,QB,LAC,10,86.5,100
Trevor Lawrence,QB,JAX,5,80.8,100
Jaxson Dart,QB,NYG,8,87.1,100
Kyle Pitts Sr.,TE,ATL,4,92.3,100
J.K. Dobbins,RB,DEN,11,97.2,100
Tony Pollard,RB,TEN,13,113.4,100
Patrick Mahomes,QB,KC,4,89.4,100
Dak Prescott,QB,DAL,10,77.4,100
Romeo Doubs,WR,NE,13,91.4,100
Tyler Allgeier,RB,ARI,6,95.1,100
Kyle Monangai,RB,CHI,7,100.4,100
Quentin Johnston,WR,LAC,10,104.1,100
Rico Dowdle,RB,PIT,7,88.2,100
Blake Corum,RB,LA,6,106.1,100
Michael Pittman Jr.,WR,PIT,6,109.6,100
Jayden Reed,WR,GB,11,108.9,100
Oronde Gadsden II,TE,LAC,12,117.4,100
Bo Nix,QB,DEN,7,97.8,100
Matthew Stafford,QB,LA,10,92,100
Brock Purdy,QB,SF,5,98.3,100
Jordan Love,QB,GB,5,107.3,100
Jared Goff,QB,DET,7,102.1,100
Xavier Worthy,WR,KC,11,120.1,100
Kyler Murray,QB,MIN,5,106.5,100
Jadarian Price,RB,FA,5,105.9,100
Baker Mayfield,QB,TB,6,111.7,100
George Kittle,TE,SF,6,103.4,100
Wan'Dale Robinson,WR,TEN,11,89.8,100
Jake Ferguson,TE,DAL,10,126.6,100
Malik Willis,QB,MIA,6,125.1,100
Tyler Shough,QB,NO,5,117,100
Josh Downs,WR,IND,13,117.7,100
KC Concepcion,WR,FA,6,119.6,100
Jalen Coker,WR,CAR,12,126.2,100
Dalton Kincaid,TE,BUF,11,115.2,100
Matthew Golden,WR,GB,4,117.9,100
Jayden Higgins,WR,HOU,10,132.1,100
Kenyon Sadiq,TE,FA,13,130.4,100
Dallas Goedert,TE,PHI,5,122,100
